Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-12-29 20:00:00,b412-c349,15,8,10,-45.8,-45.2
2015-12-29 20:15:00,b412-c349,15,8,10,-45.8,-45.2
2015-12-29 20:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-29 20:45:00,b412-c349,15,9,9,-45.8,-45.2
2015-12-29 21:00:00,b412-c349,15,9,9,-45.8,-45.2
2015-12-29 21:15:00,b412-c349,15,9,9,-45.8,-45.2
2015-12-29 21:30:00,b412-c349,15,9,9,-45.8,-45.2
2015-12-29 21:45:00,b412-c349,15,9,9,-45.8,-45.2
2015-12-29 22:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-29 22:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-29 22:30:00,b412-c349,15,8,10,-45.8,-44.9
2015-12-29 22:45:00,b412-c349,15,8,11,-46.1,-44.9
2015-12-29 23:00:00,b412-c349,15,9,10,-46.1,-44.9
2015-12-29 23:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-29 23:30:00,b412-c349,15,9,10,-45.8,-44.9
2015-12-29 23:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 00:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 00:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 00:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 00:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 01:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 01:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 01:30:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 01:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 02:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 02:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 02:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 02:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 03:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 03:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 03:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 03:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 04:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 04:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 04:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 04:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 05:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 05:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 05:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 05:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 06:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 06:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 06:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 06:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 07:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 07:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 07:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 07:45:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 08:00:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 08:15:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 08:30:00,b412-c349,15,9,13,-45.8,-45.2
2015-12-30 08:45:00,b412-c349,15,10,12,-45.8,-45.2
2015-12-30 09:00:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 09:15:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 09:30:00,b412-c349,15,9,11,-45.8,-44.9
2015-12-30 09:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 10:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 10:15:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 10:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 10:45:00,b412-c349,15,9,13,-45.8,-45.2
2015-12-30 11:00:00,b412-c349,15,12,16,-45.8,-45.2
2015-12-30 11:15:00,b412-c349,15,9,13,-45.8,-45.2
2015-12-30 11:30:00,b412-c349,15,8,11,-45.8,-45.2
2015-12-30 11:45:00,b412-c349,15,8,11,-45.8,-45.2
2015-12-30 12:00:00,b412-c349,15,8,10,-45.8,-45.2
2015-12-30 12:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 12:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 12:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 13:00:00,b412-c349,15,8,11,-45.8,-45.2
2015-12-30 13:15:00,b412-c349,15,8,11,-45.8,-45.2
2015-12-30 13:30:00,b412-c349,15,8,11,-45.8,-45.2
2015-12-30 13:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 14:00:00,b412-c349,15,8,10,-45.8,-45.2
2015-12-30 14:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 14:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 14:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 15:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 15:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 15:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 15:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 16:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 16:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 16:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 16:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 17:00:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 17:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 17:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 17:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 18:00:00,b412-c349,15,9,11,-45.8,-45.2
2015-12-30 18:15:00,b412-c349,15,10,13,-45.8,-44.9
2015-12-30 18:30:00,b412-c349,15,10,12,-45.8,-45.2
2015-12-30 18:45:00,b412-c349,15,9,12,-45.8,-45.2
2015-12-30 19:00:00,b412-c349,15,10,13,-45.8,-44.9
2015-12-30 19:15:00,b412-c349,15,10,14,-45.8,-45.2
2015-12-30 19:30:00,b412-c349,15,11,17,-45.8,-45.2
2015-12-30 19:45:00,b412-c349,15,11,16,-45.8,-45.2
2015-12-30 20:00:00,b412-c349,15,13,17,-51.1,-45.2
2015-12-30 20:15:00,b412-c349,15,15,17,-50.8,-45.2
2015-12-30 20:30:00,b412-c349,15,17,17,-54.9,-45.5
2015-12-30 20:45:00,b412-c349,15,11,17,-50.2,-45.2
2015-12-30 21:00:00,b412-c349,15,10,12,-45.8,-45.2
2015-12-30 21:15:00,b412-c349,15,10,11,-46.1,-45.2
2015-12-30 21:30:00,b412-c349,15,9,11,-46.1,-45.2
2015-12-30 21:45:00,b412-c349,15,10,11,-46.1,-45.2
2015-12-30 22:00:00,b412-c349,15,10,11,-45.8,-45.2
2015-12-30 22:15:00,b412-c349,15,10,11,-45.8,-45.2
2015-12-30 22:30:00,b412-c349,15,9,10,-46.1,-45.2
2015-12-30 22:45:00,b412-c349,15,9,10,-46.1,-45.2
2015-12-30 23:00:00,b412-c349,15,10,10,-45.8,-45.2
2015-12-30 23:15:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 23:30:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-30 23:45:00,b412-c349,15,9,10,-45.8,-45.2
2015-12-31 00:00:00,b412-c349,15,9,10,-45.8,-45.2
