Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
10-06-2011 07:00,5,4.8,-49,-49
10-06-2011 07:15,5,4.8,-48,-49
10-06-2011 07:30,5,4.8,-48,-49
10-06-2011 07:45,5,4.8,-48,-49
10-06-2011 08:00,5,4.8,-48,-49
10-06-2011 08:15,5,4.8,-48,-49
10-06-2011 08:30,5,4.8,-48,-49
10-06-2011 08:45,5,4.8,-48,-49
10-06-2011 09:00,5,4.8,-48,-49
10-06-2011 09:15,5,4.8,-46,-49
10-06-2011 09:30,5,4.8,-47,-49
10-06-2011 09:45,5,4.8,-48,-49
10-06-2011 10:00,5,4.8,-48,-49
10-06-2011 10:15,5,4.8,-47,-49
10-06-2011 10:30,5,4.8,-47,-49
10-06-2011 10:45,5,4.8,-47,-49
10-06-2011 11:00,5,4.8,-43,-49
10-06-2011 11:15,5,4.8,-43,-49
10-06-2011 11:30,5,4.8,-42,-49
10-06-2011 11:45,5,4.8,-44,-49
10-06-2011 12:00,5,4.8,-43,-50
10-06-2011 12:15,5,4.8,-44,-49
10-06-2011 12:30,5,4.8,-44,-49
10-06-2011 13:00,5,4.8,-44,-49
10-06-2011 13:15,5,4.8,-44,-49
10-06-2011 13:30,5,4.8,-45,-49
10-06-2011 13:45,5,4.8,-43,-49
10-06-2011 14:00,5,4.8,-46,-49
10-06-2011 14:15,5,4.8,-47,-49
10-06-2011 14:30,5,4.8,-47,-61
10-06-2011 14:45,5,4.8,-47,-63
10-06-2011 15:00,5,4.8,-47,-59
10-06-2011 15:15,5,4.8,-47,-49
10-06-2011 15:30,5,4.8,-48,-49
10-06-2011 15:45,5,4.8,-48,-50
10-06-2011 16:00,5,4.8,-48,-50
10-06-2011 16:15,5,4.8,-48,-49
10-06-2011 16:30,5,4.8,-48,-50
10-06-2011 16:45,5,4.8,-48,-50
10-06-2011 17:00,5,4.8,-43,-60
10-06-2011 17:15,5,4.8,-46,-63
10-06-2011 17:30,5,4.8,-48,-57
10-06-2011 17:45,5,4.8,-48,-53
10-06-2011 18:00,5,4.8,-48,-58
10-06-2011 18:15,5,4.8,-49,-55
10-06-2011 18:30,5,4.8,-50,-54
10-06-2011 18:45,5,4.8,-51,-55
10-06-2011 19:00,5,4.8,-50,-53
10-06-2011 19:15,5,4.8,-50,-52
10-06-2011 19:30,5,4.8,-50,-53
10-06-2011 19:45,5,4.8,-50,-52
10-06-2011 20:00,5,4.8,-49,-51
10-06-2011 20:15,5,4.8,-49,-51
10-06-2011 20:30,5,4.8,-49,-50
10-06-2011 20:45,5,4.8,-48,-50
10-06-2011 21:00,5,4.8,-47,-51
10-06-2011 21:15,5,4.8,-45,-50
10-06-2011 21:30,5,4.8,-47,-66
10-06-2011 21:45,5,4.8,-49,-66
10-06-2011 22:00,5,4.8,-49,-69
10-06-2011 22:15,5,4.8,-49,-53
10-06-2011 22:30,5,4.8,-49,-56
10-06-2011 22:45,5,4.8,-49,-51
10-06-2011 23:00,5,4.8,-49,-52
10-06-2011 23:15,5,4.8,-49,-51
10-06-2011 23:30,5,4.8,-49,-50
10-06-2011 23:45,5,4.8,-49,-51
11-06-2011 00:00,5,4.8,-50,-51
11-06-2011 00:15,5,4.8,-50,-51
11-06-2011 00:30,5,4.8,-50,-51
11-06-2011 00:45,5,4.8,-50,-51
11-06-2011 01:00,5,4.8,-50,-51
11-06-2011 01:15,5,4.8,-50,-51
11-06-2011 01:30,5,4.8,-50,-51
11-06-2011 01:45,5,4.8,-50,-51
11-06-2011 02:00,5,4.8,-49,-51
11-06-2011 02:15,5,4.8,-49,-51
11-06-2011 02:30,5,4.8,-46,-51
11-06-2011 02:45,5,4.8,-48,-52
11-06-2011 03:00,5,4.8,-47,-51
11-06-2011 03:15,5,4.8,-45,-52
11-06-2011 03:30,5,4.8,-47,-52
11-06-2011 03:45,5,4.8,-49,-52
11-06-2011 04:00,5,4.8,-49,-52
11-06-2011 04:15,5,4.8,-48,-51
11-06-2011 04:30,5,4.8,-49,-51
11-06-2011 04:45,5,4.8,-46,-51
11-06-2011 05:00,5,4.8,-48,-51
11-06-2011 05:15,5,4.8,-47,-50
11-06-2011 05:30,5,4.8,-45,-50
11-06-2011 05:45,5,4.8,-45,-50
11-06-2011 06:00,5,4.8,-45,-50
11-06-2011 06:15,5,4.8,-46,-50
11-06-2011 06:30,5,4.8,-45,-50
11-06-2011 06:45,5,4.8,-45,-50
11-06-2011 07:00,5,4.8,-46,-50
11-06-2011 07:15,5,4.8,-44,-50
11-06-2011 07:30,5,4.8,-43,-49
11-06-2011 07:45,5,4.8,-44,-50
11-06-2011 08:00,5,4.8,-44,-61
05-08-2011 08:15,5,4.8,-47,-50
05-08-2011 08:30,5,4.8,-45,-50
05-08-2011 08:45,5,4.8,-46,-50
05-08-2011 09:00,5,4.8,-46,-50
05-08-2011 09:15,5,4.8,-45,-50
05-08-2011 09:30,5,4.8,-45,-50
05-08-2011 09:45,5,4.8,-46,-50
05-08-2011 10:00,5,4.8,-47,-51
05-08-2011 10:15,5,4.8,-48,-50
05-08-2011 10:30,5,4.8,-48,-50
05-08-2011 10:45,5,4.8,-48,-51
05-08-2011 11:00,5,4.8,-48,-50
05-08-2011 11:15,5,4.8,-48,-52
05-08-2011 11:30,5,4.8,-48,-50
05-08-2011 11:45,5,4.8,-47,-50
05-08-2011 12:00,5,4.8,-47,-50
05-08-2011 12:15,5,4.8,-48,-50
05-08-2011 12:30,5,4.8,-48,-50
05-08-2011 12:45,5,4.8,-46,-49
05-08-2011 13:15,5,4.8,-47,-50
05-08-2011 13:30,5,4.8,-48,-50
05-08-2011 13:45,5,4.8,-48,-50
05-08-2011 14:00,5,4.8,-48,-50
05-08-2011 14:15,5,4.8,-48,-50
05-08-2011 14:30,5,4.8,-48,-53
05-08-2011 14:45,5,4.8,-48,-50
05-08-2011 15:00,5,4.8,-48,-49
05-08-2011 15:15,5,4.8,-48,-49
05-08-2011 15:30,5,4.8,-48,-49
05-08-2011 15:45,5,4.8,-48,-49
05-08-2011 16:00,5,4.8,-48,-49
05-08-2011 16:15,5,4.8,-48,-49
05-08-2011 16:30,5,4.8,-48,-49
05-08-2011 16:45,5,4.8,-48,-49
05-08-2011 17:00,5,4.8,-48,-49
05-08-2011 17:15,5,4.8,-48,-49
05-08-2011 17:30,5,4.8,-48,-51
05-08-2011 17:45,5,4.8,-48,-49
05-08-2011 18:00,5,4.8,-48,-49
05-08-2011 18:15,5,4.8,-49,-49
05-08-2011 18:30,5,4.8,-49,-49
05-08-2011 18:45,5,4.8,-49,-49
05-08-2011 19:00,5,4.8,-49,-49
05-08-2011 19:15,5,4.8,-49,-49
05-08-2011 19:30,5,4.8,-49,-49
05-08-2011 19:45,5,4.8,-49,-50
05-08-2011 20:00,5,4.8,-49,-50
05-08-2011 20:15,5,4.8,-49,-49
05-08-2011 20:30,5,4.8,-49,-50
05-08-2011 20:45,5,4.8,-49,-50
05-08-2011 21:00,5,4.8,-49,-49
05-08-2011 21:15,5,4.8,-49,-49
05-08-2011 21:30,5,4.8,-49,-50
05-08-2011 21:45,5,4.8,-49,-50
05-08-2011 22:00,5,4.8,-49,-50
05-08-2011 22:15,5,4.8,-49,-49
05-08-2011 22:30,5,4.8,-49,-50
05-08-2011 22:45,5,4.8,-49,-49
05-08-2011 23:00,5,4.8,-49,-50
05-08-2011 23:15,5,4.8,-49,-50
05-08-2011 23:30,5,4.8,-49,-49
05-08-2011 23:45,5,4.8,-49,-50
06-08-2011 00:00,5,4.8,-49,-50
06-08-2011 00:15,5,4.8,-49,-49
06-08-2011 00:30,5,4.8,-49,-49
06-08-2011 00:45,5,4.8,-49,-49
06-08-2011 01:00,5,4.8,-49,-49
06-08-2011 01:15,5,4.8,-49,-50
06-08-2011 01:30,5,4.8,-49,-50
06-08-2011 01:45,5,4.8,-49,-50
06-08-2011 02:00,5,4.8,-49,-50
06-08-2011 02:15,5,4.8,-49,-50
06-08-2011 02:30,5,4.8,-49,-50
06-08-2011 02:45,5,4.8,-49,-50
06-08-2011 03:00,5,4.8,-49,-50
06-08-2011 03:15,5,4.8,-49,-49
06-08-2011 03:30,5,4.8,-49,-49
06-08-2011 03:45,5,4.8,-48,-49
06-08-2011 04:00,5,4.8,-48,-49
06-08-2011 04:15,5,4.8,-49,-49
06-08-2011 04:30,5,4.8,-49,-49
06-08-2011 04:45,5,4.8,-48,-49
06-08-2011 05:00,5,4.8,-48,-49
06-08-2011 05:15,5,4.8,-49,-49
06-08-2011 05:30,5,4.8,-48,-49
06-08-2011 05:45,5,4.8,-48,-49
06-08-2011 06:00,5,4.8,-48,-49
06-08-2011 06:15,5,4.8,-48,-49
06-08-2011 06:30,5,4.8,-48,-49
06-08-2011 06:45,5,4.8,-47,-49
06-08-2011 07:00,5,4.8,-48,-49
06-08-2011 07:15,5,4.8,-46,-49
06-08-2011 07:30,5,4.8,-48,-49
06-08-2011 07:45,5,4.8,-48,-49
06-08-2011 08:00,5,4.8,-44,-49
06-08-2011 08:15,5,4.8,-45,-49
06-08-2011 08:30,5,4.8,-47,-49
06-08-2011 08:45,5,4.8,-48,-49
06-08-2011 09:00,5,4.8,-48,-49
06-08-2011 09:15,5,4.8,-47,-49
06-08-2011 09:30,5,4.8,-44,-49
06-08-2011 09:45,5,4.8,-44,-49
06-08-2011 10:00,5,4.8,-45,-49
06-08-2011 10:15,5,4.8,-45,-49
06-08-2011 10:30,5,4.8,-46,-49
06-08-2011 10:45,5,4.8,-45,-49
06-08-2011 11:00,5,4.8,-44,-49
06-08-2011 11:15,5,4.8,-44,-49
06-08-2011 11:30,5,4.8,-43,-49
06-08-2011 11:45,5,4.8,-44,-49
06-08-2011 12:00,5,4.8,-43,-49
06-08-2011 12:15,5,4.8,-43,-49
06-08-2011 12:30,5,4.8,-43,-49
06-08-2011 13:00,5,4.8,-43,-49
06-08-2011 13:15,5,4.8,-43,-49
06-08-2011 13:30,5,4.8,-43,-49
06-08-2011 13:45,5,4.8,-43,-49
06-08-2011 14:00,5,4.8,-43,-49
06-08-2011 14:15,5,4.8,-43,-49
06-08-2011 14:30,5,4.8,-43,-50
06-08-2011 14:45,5,4.8,-43,-49
06-08-2011 15:00,5,4.8,-43,-49
06-08-2011 15:15,5,4.8,-47,-49
06-08-2011 15:30,5,4.8,-48,-51
06-08-2011 15:45,5,4.8,-48,-58
06-08-2011 16:00,5,4.8,-52,-59
06-08-2011 16:15,5,4.8,-52,-57
06-08-2011 16:30,5,4.8,-51,-53
06-08-2011 16:45,5,4.8,-51,-54
06-08-2011 17:00,5,4.8,-51,-53
06-08-2011 17:15,5,4.8,-51,-52
06-08-2011 17:30,5,4.8,-51,-52
06-08-2011 17:45,5,4.8,-50,-52
06-08-2011 18:00,5,4.8,-49,-59
06-08-2011 18:15,5,4.8,-51,-60
06-08-2011 18:30,5,4.8,-50,-54
06-08-2011 18:45,5,4.8,-50,-67
06-08-2011 19:00,5,4.8,-51,-66
06-08-2011 19:15,5,4.8,-51,-61
06-08-2011 19:30,5,4.8,-51,-55
06-08-2011 20:00,5,4.8,-50,-59
06-08-2011 20:15,5,4.8,-49,-54
06-08-2011 20:30,5,4.8,-50,-52
06-08-2011 21:15,5,4.8,-51,-52
06-08-2011 21:45,5,4.8,-51,-51
06-08-2011 22:30,5,4.8,-49,-51
06-08-2011 22:45,5,4.8,-49,-51
06-08-2011 23:00,5,4.8,-49,-51
06-08-2011 23:15,5,4.8,-48,-51
06-08-2011 23:30,5,4.8,-47,-51
06-08-2011 23:45,5,4.8,-46,-51
07-08-2011 00:00,5,4.8,-49,-51
07-08-2011 00:15,5,4.8,-48,-51
07-08-2011 00:30,5,4.8,-49,-51
07-08-2011 00:45,5,4.8,-49,-50
07-08-2011 01:00,5,4.8,-49,-51
07-08-2011 01:15,5,4.8,-49,-51
07-08-2011 01:30,5,4.8,-49,-51
07-08-2011 01:45,5,4.8,-49,-51
07-08-2011 02:00,5,4.8,-50,-51
07-08-2011 02:15,5,4.8,-50,-51
07-08-2011 02:30,5,4.8,-49,-51
07-08-2011 02:45,5,4.8,-50,-51
07-08-2011 03:00,5,4.8,-50,-52
07-08-2011 03:15,5,4.8,-49,-51
07-08-2011 03:30,5,4.8,-49,-52
07-08-2011 03:45,5,4.8,-47,-51
07-08-2011 04:00,5,4.8,-48,-51
07-08-2011 04:15,5,4.8,-48,-51
07-08-2011 04:30,5,4.8,-47,-50
07-08-2011 04:45,5,4.8,-49,-50
07-08-2011 05:00,5,4.8,-46,-51
07-08-2011 05:15,5,4.8,-46,-50
07-08-2011 05:30,5,4.8,-47,-50
07-08-2011 05:45,5,4.8,-47,-50
07-08-2011 06:00,5,4.8,-44,-50
07-08-2011 06:15,5,4.8,-46,-50
07-08-2011 06:30,5,4.8,-44,-50
07-08-2011 06:45,5,4.8,-45,-51
07-08-2011 07:00,5,4.8,-44,-50
07-08-2011 07:15,5,4.8,-43,-51
07-08-2011 07:30,5,4.8,-45,-50
07-08-2011 07:45,5,4.8,-45,-51
07-08-2011 08:00,5,4.8,-46,-50
07-08-2011 08:15,5,4.8,-46,-50
07-08-2011 08:30,5,4.8,-44,-51
07-08-2011 08:45,5,4.8,-44,-51
07-08-2011 09:00,5,4.8,-45,-55
07-08-2011 09:15,5,4.8,-44,-50
07-08-2011 09:30,5,4.8,-44,-52
07-08-2011 09:45,5,4.8,-46,-63
07-08-2011 10:00,5,4.8,-43,-61
07-08-2011 10:15,5,4.8,-44,-59
07-08-2011 10:30,5,4.8,-45,-51
07-08-2011 10:45,5,4.8,-44,-63
07-08-2011 11:00,5,4.8,-43,-56
07-08-2011 11:15,5,4.8,-43,-57
07-08-2011 11:30,5,4.8,-47,-65
07-08-2011 11:45,5,4.8,-44,-64
07-08-2011 12:00,5,4.8,-44,-51
07-08-2011 12:15,5,4.8,-43,-55
07-08-2011 12:30,5,4.8,-43,-52
07-08-2011 13:00,5,4.8,-44,-62
07-08-2011 13:15,5,4.8,-44,-61
07-08-2011 13:30,5,4.8,-44,-54
07-08-2011 13:45,5,4.8,-44,-65
07-08-2011 14:00,5,4.8,-44,-66
07-08-2011 14:15,5,4.8,-45,-63
07-08-2011 14:30,5,4.8,-45,-64
07-08-2011 14:45,5,4.8,-45,-64
07-08-2011 15:00,5,4.8,-46,-63
07-08-2011 15:15,5,4.8,-45,-61
07-08-2011 15:30,5,4.8,-45,-53
07-08-2011 15:45,5,4.8,-44,-58
07-08-2011 16:00,5,4.8,-44,-53
07-08-2011 16:15,5,4.8,-45,-54
07-08-2011 16:30,5,4.8,-44,-55
07-08-2011 16:45,5,4.8,-45,-50
07-08-2011 17:00,5,4.8,-45,-58
07-08-2011 17:15,5,4.8,-45,-50
07-08-2011 17:30,5,4.8,-45,-61
07-08-2011 17:45,5,4.8,-47,-60
07-08-2011 18:00,5,4.8,-44,-57
07-08-2011 18:15,5,4.8,-46,-53
07-08-2011 18:30,5,4.8,-48,-54
07-08-2011 18:45,5,4.8,-46,-50
07-08-2011 19:00,5,4.8,-47,-50
07-08-2011 19:15,5,4.8,-48,-50
07-08-2011 19:30,5,4.8,-48,-49
07-08-2011 19:45,5,4.8,-48,-49
07-08-2011 20:00,5,4.8,-48,-49
07-08-2011 20:15,5,4.8,-49,-49
07-08-2011 20:30,5,4.8,-48,-49
07-08-2011 20:45,5,4.8,-48,-49
07-08-2011 21:00,5,4.8,-48,-49
07-08-2011 21:15,5,4.8,-49,-49
07-08-2011 21:30,5,4.8,-49,-49
07-08-2011 21:45,5,4.8,-49,-49
07-08-2011 22:00,5,4.8,-49,-49
07-08-2011 22:15,5,4.8,-49,-49
07-08-2011 22:30,5,4.8,-49,-49
07-08-2011 22:45,5,4.8,-49,-49
07-08-2011 23:00,5,4.8,-48,-49
07-08-2011 23:15,5,4.8,-48,-49
07-08-2011 23:30,5,4.8,-48,-49
07-08-2011 23:45,5,4.8,-48,-49
08-08-2011 00:00,5,4.8,-49,-49
08-08-2011 00:15,5,4.8,-49,-49
08-08-2011 00:30,5,4.8,-49,-49
08-08-2011 00:45,5,4.8,-49,-49
08-08-2011 01:00,5,4.8,-48,-49
08-08-2011 01:15,5,4.8,-48,-49
08-08-2011 01:30,5,4.8,-47,-49
08-08-2011 01:45,5,4.8,-44,-50
08-08-2011 02:00,5,4.8,-44,-50
08-08-2011 02:15,5,4.8,-44,-52
08-08-2011 02:30,5,4.8,-44,-51
08-08-2011 02:45,5,4.8,-46,-62
08-08-2011 03:00,5,4.8,-48,-51
08-08-2011 03:15,5,4.8,-49,-51
08-08-2011 03:30,5,4.8,-50,-51
08-08-2011 03:45,5,4.8,-50,-51
08-08-2011 04:00,5,4.8,-50,-51
08-08-2011 04:15,5,4.8,-51,-52
08-08-2011 04:30,5,4.8,-51,-52
08-08-2011 04:45,5,4.8,-51,-52
08-08-2011 05:00,5,4.8,-52,-52
08-08-2011 05:15,5,4.8,-52,-53
08-08-2011 05:30,5,4.8,-52,-53
08-08-2011 05:45,5,4.8,-52,-52
08-08-2011 06:00,5,4.8,-51,-52
08-08-2011 06:15,5,4.8,-51,-52
08-08-2011 06:30,5,4.8,-51,-53
08-08-2011 06:45,5,4.8,-53,-54
08-08-2011 07:00,5,4.8,-52,-53
08-08-2011 07:15,5,4.8,-51,-52
08-08-2011 07:30,5,4.8,-50,-52
08-08-2011 07:45,5,4.8,-50,-51
08-08-2011 08:00,5,4.8,-50,-51
08-08-2011 08:15,5,4.8,-50,-51
08-08-2011 08:30,5,4.8,-49,-51
08-08-2011 08:45,5,4.8,-49,-50
08-08-2011 09:00,5,4.8,-49,-50
08-08-2011 09:15,5,4.8,-49,-52
08-08-2011 09:30,5,4.8,-49,-57
08-08-2011 09:45,5,4.8,-49,-52
08-08-2011 10:00,5,4.8,-48,-50
08-08-2011 10:15,5,4.8,-48,-52
08-08-2011 10:30,5,4.8,-49,-60
08-08-2011 10:45,5,4.8,-49,-53
08-08-2011 11:00,5,4.8,-49,-50
08-08-2011 11:15,5,4.8,-49,-50
08-08-2011 11:30,5,4.8,-48,-63
08-08-2011 11:45,5,4.8,-48,-64
08-08-2011 12:00,5,4.8,-48,-63
08-08-2011 12:15,5,4.8,-48,-64
08-08-2011 12:30,5,4.8,-48,-68
08-08-2011 13:00,5,4.8,-48,-65
08-08-2011 13:15,5,4.8,-48,-63
08-08-2011 13:30,5,4.8,-48,-62
08-08-2011 13:45,5,4.8,-48,-66
